Valor;Fichero
OS_prov_alta_oper_central_AD;D:\tcnet\Tcnet.Ap\Tcnet.Ap.Ordenes\Pruebas\TareasAuto.aspx.cs
OS_prov_central_NO_directo;D:\tcnet\Tcnet.Ng\Tcnet.Ng.SHOPA.AccesoDirecto\AccesoDirecto.cs
OS_prov_central_directo;D:\tcnet\Tcnet.Ng\Tcnet.Ng.SHOPA.AccesoDirecto\AccesoDirecto.cs
cs_comprueba_ANI;D:\tcnet\Tcnet.Ap\Tcnet.Ap.Contratacion\ProductoInstalado\ProdInstPrincipalInformation.aspx.cs
cs_comprueba_ANI;D:\tcnet\Tcnet.Ap\Tcnet.Ap.Ordenes\Flujos\InstaladorProductos.aspx.cs
cs_comprueba_ANI;D:\tcnet\Tcnet.Ap\Tcnet.Ap.Pedido\Pedido\InstaladorProductos.aspx.cs
cs_comprueba_ANI;D:\tcnet\Tcnet.Ng\Tcnet.Ng.CON.Contratacion\Contratacion\CONContratacion.cs
cs_comprueba_ANI;D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstalado\ProdInstalado.cs
cs_comprueba_ANI;D:\tcnet\Tcnet.Ng\Tcnet.Ng.ValAccesoIndirecto\Constantes.cs
cs_comprueba_ANI;D:\tcnet\Tcnet.Ng\Tcnet.Ng.ValPaqueteVentana\ValPaqueteVentana.cs
cs_muestra_estado_TESAU;D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstalado\Constantes.cs
cs_muestra_estado_TESAU;D:\tcnet\Tcnet.Ng\Tcnet.Ng.ValInternet\Constantes.cs
cs_muestra_estado_TESAU;D:\tcnet\Tcnet.Ng\Tcnet.Ng.ValInternet\ValInternet.cs
por_email_GC;D:\tcnet\Tcnet.Ng\Tcnet.Ng.PorTempor\Temporizadores.cs
por_email_distribuidor;D:\tcnet\Tcnet.Ng\Tcnet.Ng.PorTempor\Temporizadores.cs
prov_central_NO_directo;D:\tcnet\Tcnet.Ng\Tcnet.Ng.SHOPA.AccesoDirecto\AccesoDirecto.cs
prov_central_directo;D:\tcnet\Tcnet.Ng\Tcnet.Ng.SHOPA.AccesoDirecto\AccesoDirecto.cs
swBuzonContarPortabilidad;D:\tcnet\Tcnet.Ng\Tcnet.Ng.Incidencias\Constantes.cs
