Valor -> Archivo -> Ruta
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.ActividadComercial\Web.config
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.CanalAsociado\Web.config
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.CarteraCliente\Web.config
asg_cambio -> Tcnet.Ng.IRConmutacion.dll -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Clientes\bin\Tcnet.Ng.IRConmutacion.dll
asg_cambio_asig -> Tcnet.Ng.IRConmutacion.dll -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Clientes\bin\Tcnet.Ng.IRConmutacion.dll
asg_cambio_asig_ld -> Tcnet.Ng.IRConmutacion.dll -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Clientes\bin\Tcnet.Ng.IRConmutacion.dll
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Comisiones\Web.config
asg_actualiza_datos_alta -> ConstantesProdInst.cs -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Contratacion\ProductoInstalado\ConstantesProdInst.cs
asg_reservado_disponible -> ProdInstPrincipalInformation.aspx.cs -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Contratacion\ProductoInstalado\ProdInstPrincipalInformation.aspx.cs
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.GestionRecursos\Web.config
asg_cambio -> AsignacionIntranetInternet.aspx.cs -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.GestionRecursos\Rango\AsignacionIntranetInternet.aspx.cs
asg_cambios_rangos_central -> AsignacionIntranetInternet.aspx.cs -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.GestionRecursos\Rango\AsignacionIntranetInternet.aspx.cs
asg_cambio -> AsignacionIP.aspx.cs -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.GestionRecursos\Rango\AsignacionIP.aspx.cs
asg_cambios_rangos_central -> AsignacionIP.aspx.cs -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.GestionRecursos\Rango\AsignacionIP.aspx.cs
asg_cambio -> AsignacionPrimario.aspx.cs -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.GestionRecursos\Rango\AsignacionPrimario.aspx.cs
asg_cambios_rangos_central -> AsignacionPrimario.aspx.cs -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.GestionRecursos\Rango\AsignacionPrimario.aspx.cs
asg_cambio -> AsignacionRedInteligente.aspx.cs -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.GestionRecursos\Rango\AsignacionRedInteligente.aspx.cs
asg_cambios_rangos_central -> AsignacionRedInteligente.aspx.cs -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.GestionRecursos\Rango\AsignacionRedInteligente.aspx.cs
asg_cambio -> AsignacionReservaParcial.aspx.cs -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.GestionRecursos\Rango\AsignacionReservaParcial.aspx.cs
asg_cambios_rangos_central -> AsignacionReservaParcial.aspx.cs -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.GestionRecursos\Rango\AsignacionReservaParcial.aspx.cs
asg_cambio -> Tcnet.Ap.IRConmutacion.csproj -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Tcnet.Ap.IRConmutacion.csproj
asg_cambio_asig -> Tcnet.Ap.IRConmutacion.csproj -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Tcnet.Ap.IRConmutacion.csproj
asg_cambio_asig_ld -> Tcnet.Ap.IRConmutacion.csproj -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Tcnet.Ap.IRConmutacion.csproj
asg_intercambia_lineas_agrup -> Tcnet.Ap.IRConmutacion.csproj -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Tcnet.Ap.IRConmutacion.csproj
asg_modif_cabecera -> Tcnet.Ap.IRConmutacion.csproj -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Tcnet.Ap.IRConmutacion.csproj
asg_cambio -> asg_cambio.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_cambio.sql
asg_cambio -> asg_cambio_asig.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_cambio_asig.sql
asg_cambio_asig -> asg_cambio_asig.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_cambio_asig.sql
asg_cambio -> asg_cambio_asig_ld.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_cambio_asig_ld.sql
asg_cambio_asig -> asg_cambio_asig_ld.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_cambio_asig_ld.sql
asg_cambio_asig_ld -> asg_cambio_asig_ld.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_cambio_asig_ld.sql
asg_cambio -> asg_intercambia_lineas_agrup.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_intercambia_lineas_agrup.sql
asg_cambio_asig -> asg_intercambia_lineas_agrup.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_intercambia_lineas_agrup.sql
asg_cambio_asig_ld -> asg_intercambia_lineas_agrup.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_intercambia_lineas_agrup.sql
asg_intercambia_lineas_agrup -> asg_intercambia_lineas_agrup.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_intercambia_lineas_agrup.sql
asg_separa_rangos -> asg_intercambia_lineas_agrup.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_intercambia_lineas_agrup.sql
asg_modif_cabecera -> asg_modif_cabecera.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_modif_cabecera.sql
asg_rangos_central_centr -> asg_modif_cabecera.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_modif_cabecera.sql
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Oferta\Web.config
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Oportunidades\Web.config
OS_cs_fichero_puentes -> TareasAuto.aspx.cs -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Ordenes\Pruebas\TareasAuto.aspx.cs
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Pedido\Web.config
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Siadcportal\Web.config
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.TC.CatalogoFormulas\Web.config
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.TC.InstanciaFormula\Web.config
asgf4_estado_agrup -> AgrupacionEquiposDAT.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.AgrupEquipos\AgrupacionEquiposDAT.cs
